"feature","mean_decrease_accuracy","mean_decrease_gini"
"credit_amount",7.86343569119515,38.1053832914241
"checking_status",24.3143632729133,31.6442165430828
"age_years",6.81732593018576,31.5851344599351
"duration_months",15.2427611058376,29.6871251862038
"purpose",3.68059911357027,27.5211869973365
"credit_history",12.9866360000743,23.0870569023297
"employment_since",4.73183623014018,18.6520412080986
"savings_status",6.22499376594594,17.03147806686
"property_type",4.70219715867103,14.3730647839484
"installment_rate",5.47346524078909,12.5106399123862
"residence_since",3.6297868916398,11.8715234889024
"personal_status",0.526254348924919,11.0608805938871
"job_level",0.680641465239782,8.66445559759891
"other_installment",5.03725605181246,8.12694328846918
"housing",3.93260855134855,8.01792286846354
"existing_credits",2.96718998267893,6.84895025143235
"other_debtors",4.38923750751256,5.19755621764214
"telephone",0.531670672177653,4.8668661501431
"dependents",0.992114647856735,3.45506625412379
"foreign_worker",1.84445179525584,1.07055882208665
