"term","estimate","direction","magnitude"
"foreign_workerA202",-2.929474904607,"decreases_bad_risk",2.929474904607
"purposeA41",-1.69524378084511,"decreases_bad_risk",1.69524378084511
"credit_historyA34",-1.66466071299539,"decreases_bad_risk",1.66466071299539
"purposeA48",-1.66171648274956,"decreases_bad_risk",1.66171648274956
"employment_sinceA74",-1.44777871868685,"decreases_bad_risk",1.44777871868685
"checking_statusA14",-1.43801136234173,"decreases_bad_risk",1.43801136234173
"personal_statusA93",-1.35569608645029,"decreases_bad_risk",1.35569608645029
"savings_statusA64",-1.24306123534725,"decreases_bad_risk",1.24306123534725
"property_typeA124",1.1633848195088,"increases_bad_risk",1.1633848195088
"housingA153",-1.1373227333619,"decreases_bad_risk",1.1373227333619
"savings_statusA65",-1.06451464425622,"decreases_bad_risk",1.06451464425622
"credit_historyA33",-1.01316187626325,"decreases_bad_risk",1.01316187626325
"job_levelA172",0.96761050270022,"increases_bad_risk",0.96761050270022
"purposeA410",-0.903984302233854,"decreases_bad_risk",0.903984302233854
"employment_sinceA75",-0.895073017342052,"decreases_bad_risk",0.895073017342052
"other_debtorsA103",-0.876754602344084,"decreases_bad_risk",0.876754602344084
"housingA152",-0.846182049183404,"decreases_bad_risk",0.846182049183404
"personal_statusA92",-0.838467500341508,"decreases_bad_risk",0.838467500341508
"employment_sinceA73",-0.833225914802679,"decreases_bad_risk",0.833225914802679
"purposeA43",-0.761192233308229,"decreases_bad_risk",0.761192233308229
"job_levelA173",0.761139250336433,"increases_bad_risk",0.761139250336433
"checking_statusA13",-0.745293531904831,"decreases_bad_risk",0.745293531904831
"credit_historyA31",0.732704422064368,"increases_bad_risk",0.732704422064368
"savings_statusA62",-0.719403288611312,"decreases_bad_risk",0.719403288611312
"purposeA42",-0.6998521300851,"decreases_bad_risk",0.6998521300851
"personal_statusA94",-0.668356720057188,"decreases_bad_risk",0.668356720057188
"purposeA49",-0.66127076891702,"decreases_bad_risk",0.66127076891702
"purposeA45",-0.638907280871465,"decreases_bad_risk",0.638907280871465
"job_levelA174",0.631628336159549,"increases_bad_risk",0.631628336159549
"property_typeA122",0.62584501728537,"increases_bad_risk",0.62584501728537
"savings_statusA63",-0.621461463321386,"decreases_bad_risk",0.621461463321386
"property_typeA123",0.510501386311327,"increases_bad_risk",0.510501386311327
"employment_sinceA72",-0.50135119430939,"decreases_bad_risk",0.50135119430939
"telephoneA192",-0.498077757678301,"decreases_bad_risk",0.498077757678301
"credit_historyA32",-0.478173556212198,"decreases_bad_risk",0.478173556212198
"other_debtorsA102",0.471639200002612,"increases_bad_risk",0.471639200002612
"existing_credits",0.462044516233213,"increases_bad_risk",0.462044516233213
"installment_rate",0.413055463814582,"increases_bad_risk",0.413055463814582
"other_installmentA143",-0.2929704355732,"decreases_bad_risk",0.2929704355732
"other_installmentA142",0.283369548909874,"increases_bad_risk",0.283369548909874
"checking_statusA12",-0.178015277000933,"decreases_bad_risk",0.178015277000933
"residence_since",-0.115563989965415,"decreases_bad_risk",0.115563989965415
"purposeA44",0.0733048494363396,"increases_bad_risk",0.0733048494363396
"purposeA46",-0.0600159489104653,"decreases_bad_risk",0.0600159489104653
"duration_months",0.0313351993501075,"increases_bad_risk",0.0313351993501075
"dependents",-0.0262091363512783,"decreases_bad_risk",0.0262091363512783
"age_years",-0.0106502194786079,"decreases_bad_risk",0.0106502194786079
"credit_amount",0.000151590519027317,"increases_bad_risk",0.000151590519027317
