"application_id","checking_status","duration_months","credit_amount","savings_status","employment_since","age_years","housing","model_probability_bad","model_decision","outcome"
"APP-0026","A12",54,15945,"A61","A72",58,"A151",0.8571,"Review","Bad"
"APP-0232","A12",60,6288,"A61","A73",42,"A153",0.8114,"Review","Bad"
"APP-0079","A12",60,7408,"A62","A72",24,"A152",0.7829,"Review","Bad"
"APP-0141","A11",24,1442,"A61","A74",23,"A151",0.7429,"Review","Bad"
"APP-0128","A11",48,7763,"A61","A75",42,"A153",0.7343,"Review","Bad"
"APP-0188","A12",12,836,"A62","A72",23,"A152",0.7114,"Review","Bad"
"APP-0199","A11",36,15857,"A61","A71",43,"A152",0.7114,"Review","Good"
"APP-0143","A12",24,1837,"A61","A74",34,"A153",0.7029,"Review","Bad"
"APP-0027","A12",36,2323,"A61","A74",24,"A151",0.6886,"Review","Good"
"APP-0210","A11",18,1442,"A61","A74",32,"A153",0.6857,"Review","Bad"
"APP-0091","A12",60,14782,"A62","A75",60,"A153",0.68,"Review","Bad"
"APP-0016","A11",36,6229,"A61","A72",23,"A151",0.6514,"Review","Bad"
"APP-0051","A11",24,6568,"A61","A73",21,"A152",0.6486,"Review","Good"
"APP-0249","A11",36,3959,"A61","A71",30,"A152",0.6314,"Review","Good"
"APP-0060","A11",12,2149,"A61","A73",29,"A153",0.6257,"Review","Bad"
"APP-0068","A11",24,1024,"A61","A72",48,"A152",0.6257,"Review","Bad"
"APP-0151","A11",18,750,"A61","A71",27,"A152",0.6143,"Review","Bad"
"APP-0080","A11",24,4110,"A61","A75",23,"A151",0.6086,"Review","Bad"
"APP-0053","A11",24,3021,"A61","A73",24,"A151",0.6057,"Review","Good"
"APP-0154","A12",12,888,"A61","A75",41,"A152",0.6057,"Review","Bad"
"APP-0010","A11",48,6143,"A61","A75",58,"A153",0.6,"Review","Bad"
"APP-0148","A11",12,1858,"A61","A72",22,"A151",0.6,"Review","Good"
"APP-0021","A12",30,3832,"A61","A72",22,"A152",0.5971,"Review","Good"
"APP-0101","A12",18,2779,"A61","A73",21,"A151",0.5943,"Review","Good"
"APP-0033","A11",36,6887,"A61","A73",29,"A152",0.5914,"Review","Bad"
"APP-0236","A14",36,10974,"A61","A71",26,"A152",0.5829,"Review","Bad"
"APP-0005","A11",24,1282,"A62","A73",32,"A152",0.58,"Review","Bad"
"APP-0082","A12",24,5743,"A61","A72",24,"A153",0.58,"Review","Good"
"APP-0065","A12",48,12169,"A65","A71",36,"A153",0.5771,"Review","Good"
"APP-0043","A11",12,339,"A61","A75",45,"A152",0.5743,"Review","Good"
"APP-0099","A12",18,1042,"A65","A73",33,"A152",0.5686,"Review","Bad"
"APP-0216","A11",12,652,"A61","A75",24,"A151",0.5657,"Review","Good"
"APP-0107","A12",48,5096,"A61","A73",30,"A152",0.56,"Review","Bad"
"APP-0066","A11",30,11998,"A61","A72",34,"A152",0.5571,"Review","Bad"
"APP-0119","A12",36,9034,"A62","A72",29,"A151",0.5457,"Review","Bad"
"APP-0121","A11",36,5493,"A61","A75",42,"A153",0.5457,"Review","Good"
"APP-0135","A12",24,1553,"A62","A74",23,"A151",0.5457,"Review","Good"
"APP-0153","A11",30,4583,"A61","A73",32,"A152",0.5457,"Review","Good"
"APP-0134","A11",24,1546,"A61","A74",24,"A151",0.5429,"Review","Bad"
"APP-0183","A11",30,3108,"A61","A72",31,"A152",0.5429,"Review","Bad"
"APP-0190","A11",40,5998,"A61","A73",27,"A152",0.54,"Review","Bad"
"APP-0116","A11",18,3114,"A61","A72",26,"A151",0.5314,"Review","Bad"
"APP-0048","A14",36,9572,"A61","A72",28,"A152",0.5257,"Review","Bad"
"APP-0235","A11",36,2145,"A61","A74",24,"A152",0.5257,"Review","Bad"
"APP-0002","A11",24,4870,"A61","A73",53,"A153",0.5229,"Review","Bad"
"APP-0028","A12",24,11938,"A61","A73",39,"A152",0.5057,"Review","Bad"
"APP-0040","A13",36,5848,"A61","A73",24,"A152",0.5029,"Review","Good"
"APP-0171","A11",24,1987,"A61","A73",21,"A151",0.5029,"Review","Bad"
"APP-0227","A11",6,14896,"A61","A75",68,"A152",0.5029,"Review","Bad"
"APP-0003","A12",36,6948,"A61","A73",35,"A151",0.4971,"Approve","Good"
"APP-0081","A12",10,1521,"A61","A73",31,"A152",0.4914,"Approve","Good"
"APP-0074","A11",12,727,"A62","A72",33,"A152",0.4886,"Approve","Bad"
"APP-0115","A11",9,654,"A61","A73",28,"A152",0.48,"Approve","Bad"
"APP-0120","A11",24,3123,"A61","A72",27,"A152",0.48,"Approve","Bad"
"APP-0137","A12",36,2384,"A61","A72",33,"A151",0.48,"Approve","Bad"
"APP-0247","A11",24,6579,"A61","A71",29,"A153",0.4771,"Approve","Good"
"APP-0062","A11",24,1603,"A61","A75",55,"A152",0.4743,"Approve","Good"
"APP-0175","A11",15,2511,"A61","A71",23,"A151",0.4714,"Approve","Good"
"APP-0215","A11",18,2389,"A61","A72",27,"A152",0.4686,"Approve","Good"
"APP-0088","A12",18,1239,"A65","A73",61,"A153",0.4571,"Approve","Good"
"APP-0172","A12",36,3990,"A65","A72",29,"A152",0.4571,"Approve","Good"
"APP-0198","A11",36,9629,"A61","A74",24,"A152",0.4571,"Approve","Bad"
"APP-0246","A13",42,6289,"A61","A72",33,"A152",0.4543,"Approve","Good"
"APP-0024","A11",12,1108,"A61","A74",28,"A152",0.4514,"Approve","Bad"
"APP-0037","A11",18,2462,"A61","A73",22,"A152",0.4486,"Approve","Bad"
"APP-0094","A11",36,2348,"A61","A73",46,"A152",0.4486,"Approve","Good"
"APP-0146","A11",24,3632,"A61","A73",22,"A151",0.4457,"Approve","Good"
"APP-0226","A11",12,1107,"A61","A73",20,"A151",0.4457,"Approve","Good"
"APP-0008","A11",24,4020,"A61","A73",27,"A152",0.44,"Approve","Good"
"APP-0245","A14",48,4844,"A61","A71",33,"A151",0.4343,"Approve","Bad"
"APP-0208","A11",20,2235,"A61","A73",33,"A151",0.4314,"Approve","Bad"
"APP-0229","A12",9,1670,"A61","A72",22,"A152",0.4286,"Approve","Bad"
"APP-0233","A11",15,1845,"A61","A72",46,"A151",0.4257,"Approve","Good"
"APP-0019","A11",36,1977,"A65","A75",40,"A152",0.4229,"Approve","Bad"
"APP-0004","A12",12,1567,"A61","A73",22,"A152",0.4171,"Approve","Good"
"APP-0014","A14",6,783,"A65","A73",26,"A152",0.4171,"Approve","Good"
"APP-0018","A12",42,5954,"A61","A74",41,"A152",0.4171,"Approve","Good"
"APP-0049","A12",18,884,"A61","A75",36,"A152",0.4171,"Approve","Bad"
"APP-0086","A12",9,959,"A61","A73",29,"A152",0.4171,"Approve","Bad"
"APP-0203","A11",18,3966,"A61","A75",33,"A151",0.4171,"Approve","Bad"
"APP-0195","A12",12,7472,"A65","A71",24,"A151",0.4143,"Approve","Good"
"APP-0248","A12",24,1743,"A61","A75",48,"A152",0.4086,"Approve","Good"
"APP-0015","A13",18,1961,"A61","A75",23,"A152",0.4057,"Approve","Good"
"APP-0023","A12",18,1295,"A61","A72",27,"A152",0.4057,"Approve","Good"
"APP-0063","A11",14,8978,"A61","A75",45,"A152",0.4057,"Approve","Bad"
"APP-0114","A11",6,448,"A61","A72",23,"A152",0.4057,"Approve","Bad"
"APP-0076","A12",9,276,"A61","A73",22,"A151",0.3971,"Approve","Good"
"APP-0111","A11",24,4817,"A61","A74",31,"A152",0.3943,"Approve","Bad"
"APP-0170","A12",24,6403,"A61","A72",33,"A152",0.3886,"Approve","Good"
"APP-0030","A12",18,6260,"A61","A74",28,"A151",0.3857,"Approve","Good"
"APP-0042","A12",24,6967,"A62","A74",36,"A151",0.3829,"Approve","Good"
"APP-0155","A14",48,3609,"A61","A73",27,"A152",0.3829,"Approve","Good"
"APP-0161","A11",15,975,"A61","A73",25,"A152",0.3743,"Approve","Good"
"APP-0187","A12",18,3872,"A61","A71",67,"A152",0.3743,"Approve","Good"
"APP-0180","A11",18,2124,"A61","A73",24,"A151",0.3714,"Approve","Bad"
"APP-0124","A11",18,3190,"A61","A73",24,"A152",0.3686,"Approve","Bad"
"APP-0231","A12",6,2063,"A61","A72",30,"A151",0.3686,"Approve","Good"
"APP-0106","A12",20,2629,"A61","A73",29,"A152",0.3629,"Approve","Good"
"APP-0138","A11",12,1289,"A61","A73",21,"A152",0.3629,"Approve","Good"
"APP-0206","A14",12,886,"A65","A73",21,"A152",0.3629,"Approve","Good"
"APP-0045","A12",24,1935,"A61","A75",31,"A152",0.3543,"Approve","Bad"
"APP-0096","A14",14,802,"A61","A73",27,"A152",0.3543,"Approve","Good"
"APP-0177","A12",12,841,"A62","A74",23,"A151",0.3543,"Approve","Good"
"APP-0152","A11",18,1880,"A61","A74",32,"A152",0.3486,"Approve","Good"
"APP-0144","A13",10,1275,"A61","A72",23,"A152",0.3457,"Approve","Good"
"APP-0093","A14",18,1126,"A65","A72",21,"A151",0.3371,"Approve","Good"
"APP-0133","A14",21,5003,"A65","A73",29,"A152",0.3371,"Approve","Bad"
"APP-0189","A12",20,6468,"A65","A71",60,"A152",0.3314,"Approve","Good"
"APP-0072","A13",24,1344,"A65","A74",37,"A152",0.3286,"Approve","Bad"
"APP-0220","A11",9,1422,"A61","A72",27,"A153",0.3286,"Approve","Bad"
"APP-0244","A12",30,8386,"A61","A74",49,"A152",0.3257,"Approve","Bad"
"APP-0129","A13",18,3049,"A61","A72",45,"A152",0.3229,"Approve","Good"
"APP-0205","A14",24,2375,"A63","A73",44,"A152",0.3229,"Approve","Good"
"APP-0136","A12",18,1056,"A61","A75",30,"A152",0.32,"Approve","Bad"
"APP-0139","A11",12,385,"A61","A74",58,"A152",0.32,"Approve","Good"
"APP-0031","A11",33,4281,"A63","A73",23,"A152",0.3171,"Approve","Bad"
"APP-0073","A14",48,10127,"A63","A73",44,"A153",0.3171,"Approve","Bad"
"APP-0241","A12",30,1715,"A65","A73",26,"A152",0.3171,"Approve","Good"
"APP-0164","A13",15,1905,"A61","A75",40,"A151",0.3114,"Approve","Good"
"APP-0207","A14",4,601,"A61","A72",23,"A151",0.3114,"Approve","Good"
"APP-0234","A12",18,3590,"A61","A71",40,"A152",0.3114,"Approve","Good"
"APP-0090","A14",60,13756,"A65","A75",63,"A153",0.3057,"Approve","Good"
"APP-0184","A12",12,3617,"A61","A75",28,"A151",0.3029,"Approve","Good"
"APP-0193","A11",18,7511,"A65","A75",51,"A153",0.3029,"Approve","Bad"
"APP-0204","A14",18,4165,"A61","A73",36,"A152",0.3029,"Approve","Bad"
"APP-0038","A14",21,2288,"A61","A72",23,"A152",0.3,"Approve","Good"
"APP-0200","A11",18,1345,"A61","A73",26,"A152",0.3,"Approve","Bad"
"APP-0052","A13",30,1908,"A61","A75",66,"A152",0.2943,"Approve","Bad"
"APP-0102","A11",18,1190,"A61","A71",55,"A153",0.2914,"Approve","Bad"
"APP-0056","A11",30,2522,"A61","A75",39,"A152",0.2886,"Approve","Good"
"APP-0009","A13",12,1474,"A61","A72",33,"A152",0.28,"Approve","Good"
"APP-0075","A12",8,1237,"A61","A73",24,"A152",0.2771,"Approve","Bad"
"APP-0041","A12",24,7758,"A64","A75",29,"A151",0.2743,"Approve","Good"
"APP-0168","A14",6,250,"A64","A73",41,"A152",0.2743,"Approve","Good"
"APP-0174","A11",13,1797,"A61","A72",28,"A152",0.2743,"Approve","Good"
"APP-0113","A11",12,3386,"A61","A75",35,"A153",0.2686,"Approve","Bad"
"APP-0237","A11",24,1231,"A64","A75",57,"A151",0.2686,"Approve","Good"
